Timestamp(ms),Current(uA),D0-D7
10.13,8258.887,00000000
10.14,8439.672,00000000
10.15,8304.062,00000000
10.16,8258.887,00000000
10.17,8168.581,00000000
10.18,8078.331,00000000
10.19,8258.887,00000000
10.2,8168.581,00000000
10.21,8258.887,00000000
10.22,8213.727,00000000
10.23,8078.331,00000000
10.24,8349.251,00000000
10.25,8213.727,00000000
10.26,8394.454,00000000
10.27,8349.251,00000000
10.28,8304.062,00000000
10.29,8394.454,00000000
10.3,8304.062,00000000
10.31,8349.251,00000000
10.32,8349.251,00000000
10.33,8258.887,00000000
10.34,8213.727,00000000
10.35,8213.727,00000000
10.36,8394.454,00000000
10.37,8123.449,00000000
10.38,8168.581,00000000
10.39,8258.887,00000000
10.4,8665.974,00000000
10.41,8892.633,00000000
10.42,8213.727,00000000
10.43,7717.903,00000000
10.44,7717.903,00000000
10.45,7943.063,00000000
10.46,7988.138,00000000
10.47,8078.331,00000000
10.48,8123.449,00000000
10.49,7807.925,00000000
10.5,8304.062,00000000
10.51,7988.138,00000000
10.52,8123.449,00000000
10.53,8213.727,00000000
10.54,8033.228,00000000
10.55,8168.581,00000000
10.56,7898.003,00000000
10.57,8213.727,00000000
10.58,8168.581,00000000
10.59,8168.581,00000000
10.6,8258.887,00000000
10.61,8123.449,00000000
10.62,7943.063,00000000
10.63,7943.063,00000000
10.64,8258.887,00000000
10.65,8123.449,00000000
10.66,8123.449,00000000
10.67,8168.581,00000000
10.68,8123.449,00000000
10.69,8033.228,00000000
